Model,Best Parameters,MSE,MAE,R2,RMSE,Time (seconds)
Random Forest,"{'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.121165701576369,0.2608890119047619,0.8971159852804133,0.3480886404012189,206.90898060798645
Gradient Boosting,"{'gb__learning_rate': 0.1, 'gb__max_depth': 5, 'gb__n_estimators': 200}",0.1296524146338254,0.268183773505705,0.8899097619039578,0.3600727907435182,36.619091272354126
